NOTAM_REC_ID,FNS_ID,FILENAME,NOTAM_ID,NOTAM_TYPE,RELATED_NOTAM_ID,SIMPLE_TEXT,LOC_ID_ACCOUNTABLE_ORG,NOTAM_NUMBER,RELATED_NOTAM_NUMBER,TEXT,Q_CODE,Q_CODE_INTERPRETATION,A_CODE,B_CODE,C_CODE,D_CODE,E_CODE,F_CODE,G_CODE,CLASSIFICATION,POSSIBLE_NOTAM_ID,MIN_ALT,MAX_ALT,MIN_ALT_REF_TYPE,MAX_ALT_REF_TYPE,POSSIBLE_START_DATE,POSSIBLE_END_DATE,ISSUE_DATE,CANCELED_DATE,AFFECTED_FIR,DESIGNATOR,DESIGNATOR_NAME,LOCATION_NAME,ACCOUNT_ID,LOCATION_CODE,LAUNCHES_REC_ID
11,FNS_ID_43134970,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0148/16,NULL,NULL,!SUAE 05/148 ZME AIRSPACE COLUMBUS 3 MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180 1605250103-1605250126,SUAE,05/148,NULL,AIRSPACE COLUMBUS 3 MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE COLUMBUS 3 MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0148/16,80,180,NULL,NULL,03:00.0,26:00.0,05:00.0,NULL,NULL,NULL,NULL,ZME ARTCC,SUAE,ZME,NULL
12,FNS_ID_43134971,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0149/16,NULL,NULL,!SUAE 05/149 ZME AIRSPACE COLUMBUS 4 MOA ACT 10000FT UP TO BUT NOT INCLUDING FL180 1605250100-1605250126,SUAE,05/149,NULL,AIRSPACE COLUMBUS 4 MOA ACT 10000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE COLUMBUS 4 MOA ACT 10000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0149/16,100,180,NULL,NULL,00:00.0,26:00.0,05:00.0,NULL,NULL,NULL,NULL,ZME ARTCC,SUAE,ZME,NULL
13,FNS_ID_43134965,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0640/16,NULL,NULL,!SUAC 05/640 ZFW AIRSPACE AR112L(E) ACT FL190-FL230 1605250100-1605250145,SUAC,05/640,NULL,AIRSPACE AR112L(E) ACT FL190-FL230,NULL,NULL,NULL,NULL,NULL,NULL,ACT FL190-FL230 1605250100-1605250145,NULL,NULL,DOM,0640/16,190,230,NULL,NULL,00:00.0,45:00.0,05:00.0,NULL,NULL,NULL,NULL,ZFW ARTCC,SUAC,ZFW,NULL
14,FNS_ID_43134969,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0147/16,NULL,NULL,!SUAE 05/147 ZME AIRSPACE AR112L(E) ACT FL190-FL230 1605250100-1605250145,SUAE,05/147,NULL,AIRSPACE AR112L(E) ACT FL190-FL230,NULL,NULL,NULL,NULL,NULL,NULL,ACT FL190-FL230 1605250100-1605250145,NULL,NULL,DOM,0147/16,190,230,NULL,NULL,00:00.0,45:00.0,05:00.0,NULL,NULL,NULL,NULL,ZME ARTCC,SUAE,ZME,NULL
15,FNS_ID_43134964,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0639/16,NULL,NULL,!SUAC 05/639 ZHU AIRSPACE AR101(S) ACT FL260-FL290 1605250100-1605250200,SUAC,05/639,NULL,AIRSPACE AR101(S) ACT FL260-FL290,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE AR101(S) ACT FL260-FL290,NULL,NULL,DOM,0639/16,260,290,NULL,NULL,00:00.0,00:00.0,05:00.0,NULL,NULL,NULL,NULL,ZHU ARTCC,SUAC,ZHU,NULL
16,FNS_ID_43134968,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0146/16,NULL,NULL,!SUAE 05/146 ZME AIRSPACE AR101(S) ACT FL260-FL290 1605250100-1605250200,SUAE,05/146,NULL,AIRSPACE AR101(S) ACT FL260-FL290,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE AR101(S) ACT FL260-FL290,NULL,NULL,DOM,0146/16,260,290,NULL,NULL,00:00.0,00:00.0,05:00.0,NULL,NULL,NULL,NULL,ZME ARTCC,SUAE,ZME,NULL
17,FNS_ID_43134972,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0810/16,NULL,NULL,!SUAW 05/810 ZLA AIRSPACE ABEL EAST MOA ACT 5000FT-12999FT 1605250100-1605250200,SUAW,05/810,NULL,AIRSPACE ABEL EAST MOA ACT 5000FT-12999FT,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE ABEL EAST MOA ACT 5000FT-12999FT,NULL,NULL,DOM,0810/16,50,129.99,NULL,NULL,00:00.0,00:00.0,05:00.0,NULL,NULL,NULL,NULL,ZLA ARTCC,SUAW,ZLA,NULL
18,FNS_ID_43134966,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0144/16,NULL,NULL,!SUAE 05/144 ZBW AIRSPACE AR20(SW) ACT FL240-FL280 1605250100-1605250300,SUAE,05/144,NULL,AIRSPACE AR20(SW) ACT FL240-FL280,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE AR20(SW) ACT FL240-FL280,NULL,NULL,DOM,0144/16,240,280,NULL,NULL,00:00.0,00:00.0,05:00.0,NULL,NULL,NULL,NULL,ZBW ARTCC,SUAE,ZBW,NULL
19,FNS_ID_43134994,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,A0477/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,OBST - CRANE IN AREA RADIUS 20M PSN 494110N0180622E.  HGT 30M AGL/283M AMSL. DAY MARKING,LKAA/QOBCE/IV/NBO/A/000/999/4942N01807E005,OBSTACLE ERECTED,LKMT,30:00.0,00:00.0,NULL,OBST - CRANE IN AREA RADIUS 20M PSN 494110N0180622E.  HGT 30M AGL/283M AMSL. DAY MARKING ,0,999,INTL,A0477/16 NOTAMN,0,999,MSL,MSL,30:00.0,00:00.0,10:00.0,NULL,LKAA,NULL,NULL,MOSNOV,LKPRYNYX,LKMT,NULL
20,FNS_ID_43134988,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0013/16,NULL,NULL,!YSB 05/013 YSB  CYSB CRANE 1000 FT BEYOND THR 04 AND 1200 FT RIGHT RCL. 150 FT AGL 1293 MSL. NOT LGTD PAINTED  1605251000-1605251800,YSB,05/013,NULL,CYSB CRANE 1000 FT BEYOND THR 04 AND 1200 FT RIGHT RCL. 150 FT AGL 1293 MSL. NOT LGTD PAINTED,NULL,NULL,NULL,NULL,NULL,NULL,CYSB CRANE 1000 FT BEYOND THR 04 AND 1200 FT RIGHT RCL. 150 FT AGL 1293 MSL. NOT LGTD PAINTED,NULL,NULL,DOM,0013/16,NULL,NULL,NULL,NULL,00:00.0,00:00.0,09:00.0,NULL,CZYZ,NULL,NULL,SUDBURY,YSB,YSB,NULL
21,FNS_ID_43134975,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,A1612/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,NXT RTE ATS CHG MEA  A 11000FT: W16 BTN REP KAMIS Y VOR/DME GIR W85 BTN REP MORMO Y VOR/DME GIR,SKED/QARCH/IV/BO/E/000/999/0416N07447W010,ATS ROUTE CHANGED,SKED,00:00.0,00:00.0,1700-2000,NXT RTE ATS CHG MEA  A 11000FT: W16 BTN REP KAMIS Y VOR/DME GIR W85 BTN REP MORMO Y VOR/DME GIR ,0,999,INTL,A1612/16 NOTAMN,0,999,MSL,MSL,00:00.0,00:00.0,06:00.0,NULL,SKED,NULL,NULL,BOGOTA/ACC/UIR-FIR,SKBOYNYX,SKED,NULL
22,FNS_ID_43134830,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,A1609/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,NXT RTE ATS CHG MEA  A 11000FT: W16 BTN REP KAMIS Y VOR/DME GIR W85 BTN REP MORMO Y VOR/DME GIR,SKED/QARCH/IV/BO/E/000/999/0416N07447W010,ATS ROUTE CHANGED,SKED,00:00.0,00:00.0,1700-2200,NXT RTE ATS CHG MEA  A 11000FT: W16 BTN REP KAMIS Y VOR/DME GIR W85 BTN REP MORMO Y VOR/DME GIR ,0,999,INTL,A1609/16 NOTAMN,0,999,MSL,MSL,00:00.0,00:00.0,49:00.0,05:00.0,SKED,NULL,NULL,BOGOTA/ACC/UIR-FIR,SKBOYNYX,SKED,NULL
23,FNS_ID_43134989,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0113/16,NULL,NULL,!YUL 05/113 SZ8  CSZ8 HELIPAD CLSD  1605251100-1605252300,YUL,05/113,NULL,CSZ8 HELIPAD CLSD,NULL,NULL,NULL,NULL,NULL,NULL,CSZ8 HELIPAD CLSD,NULL,NULL,DOM,0113/16,NULL,NULL,NULL,NULL,00:00.0,00:00.0,09:00.0,NULL,NULL,NULL,NULL,NULL,YUL,SZ8,NULL
24,FNS_ID_43134987,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0052/16,NULL,NULL,!YEG 05/052 EQ3  CEQ3 RWY 14/32 CLSD DUE LINE PAINTING  1605251400-1605260200,YEG,05/052,NULL,CEQ3 RWY 14/32 CLSD DUE LINE PAINTING,NULL,NULL,NULL,NULL,NULL,NULL,CEQ3 RWY 14/32 CLSD DUE LINE PAINTING,NULL,NULL,DOM,0052/16,NULL,NULL,NULL,NULL,00:00.0,00:00.0,09:00.0,NULL,NULL,NULL,NULL,CANROSE.,YEG,EQ3,NULL
25,FNS_ID_43134985,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0111/16,NOTAMN,NULL,!MMV 05/111 61S AIRSPACE UAS WI AN AREA DEFINED AS 4.7NM RADIUS OF 61S SFC-200FT AGL  1605251700-1605260330,MMV,05/111,NULL,AIRSPACE UAS WI AN AREA DEFINED AS 4.7NM RADIUS OF 61S SFC-200FT AGL,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE UAS WI AN AREA DEFINED AS 4.7NM RADIUS OF 61S SFC-200FT AGL,NULL,NULL,DOM,0111/16 NOTAMN,0,NULL,AGL,NULL,00:00.0,30:00.0,12:00.0,NULL,NULL,NULL,NULL,COTTAGE GROVE STATE,MMV,61S,NULL
26,FNS_ID_43134978,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,V1857/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,AIRSPACE CLSD WI AREA: 445300N0392400E-445500N0393300E-445400N0393400E- 445100N0392400E-445300N0392400E.,URRV/QRTCA/IV/BO/W/000/999/4453N03929E004,TEMPORARY RESTRICTED AREA ACTIVATED,URRV,00:00.0,00:00.0,NULL,AIRSPACE CLSD WI AREA: 445300N0392400E-445500N0393300E-445400N0393400E- 445100N0392400E-445300N0392400E.,GND,300M,INTL,V1857/16 NOTAMN,0,999,AGL,AGL,00:00.0,00:00.0,05:00.0,NULL,URRV,NULL,NULL,ROSTOV FIR,UUUUYNYX,URRV,NULL
27,FNS_ID_43134981,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0018/16,NOTAMN,NULL,!DNV 05/018 DNV RWY 03/21 CLSD  DLY 1300-1900 1605261300-1605271900,DNV,05/018,NULL,RWY 03/21 CLSD DLY 1300-1900,NULL,NULL,NULL,NULL,NULL,NULL,RWY 03/21 CLSD DLY 1300-1900,NULL,NULL,DOM,0018/16 NOTAMN,NULL,NULL,NULL,NULL,00:00.0,00:00.0,10:00.0,NULL,NULL,DNV,VERMILION REGIONAL,VERMILION REGIONAL,DNV,KDNV,NULL
28,FNS_ID_43134974,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,A1611/16,NOTAMC,A1609/16,NULL,NULL,NULL,NULL,A1611/16 NOTAMC A1609/16 Q) SKED/QARCN/IV/BO/E/000/999/0416N07447W010 A) SKED B) 1605251700 E) SE CNL NOTAM,SKED/QARCN/IV/BO/E/000/999/0416N07447W010,ATS ROUTE,SKED,00:00.0,NULL,NULL,SE CNL NOTAM ,0,999,INTL,A1611/16 NOTAMC,0,999,MSL,MSL,05:00.0,05:00.0,05:00.0,NULL,SKED,NULL,NULL,BOGOTA/ACC/UIR-FIR,SKBOYNYX,SKED,NULL
29,FNS_ID_43134977,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,P4904/16,NOTAMC,P4789/16,NULL,NULL,NULL,NULL,P4904/16 NOTAMC P4789/16 Q) UHHH/QRTCC/IV/BO/W/   /   /5033N13720E018 A) UHHH B) 1605241904 E) CNL.,UHHH/QRTCC/IV/BO/W/,TEMPORARY RESTRICTED AREA,UHHH,04:00.0,NULL,NULL,CNL. ,NULL,NULL,INTL,P4904/16 NOTAMC,NULL,NULL,NULL,NULL,07:00.0,07:00.0,07:00.0,NULL,UHHH,NULL,NULL,KHABAROVSK NOVY,UUUUYNYX,UHHH,NULL
30,FNS_ID_43134996,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,P4905/16,NOTAMC,P4787/16,NULL,NULL,NULL,NULL,P4905/16 NOTAMC P4787/16 Q) UHHH/QRTCC/IV/BO/W/   /   /5120N13622E035 A) UHHH B) 1605241905 E) CNL.,UHHH/QRTCC/IV/BO/W/,TEMPORARY RESTRICTED AREA,UHHH,05:00.0,NULL,NULL,CNL. ,NULL,NULL,INTL,P4905/16 NOTAMC,NULL,NULL,NULL,NULL,08:00.0,08:00.0,08:00.0,NULL,UHHH,NULL,NULL,KHABAROVSK NOVY,UUUUYNYX,UHHH,NULL
31,FNS_ID_43127964,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,05/221,NOTAMN,NULL,!PIE 05/221 PIE NAV ILS RWY 36R LOC OUT OF SERVICE 1605240016-1605272000EST,PIE,05/221,NULL,NAV ILS RWY 36R LOC OUT OF SERVICE,ZMA//I/NBO/A/000/999/2754N08241W005,NULL,KPIE,16:00.0,00:00.0,NULL, NAV ILS RWY 36R LOCALIZER OUT OF SERVICE ,0,999,DOM,0221/16 NOTAMN,0,999,MSL,MSL,16:00.0,00:00.0,16:00.0,09:00.0,ZMA,PIE,ST PETE-CLEARWATER INTL,ST PETE-CLEARWATER INTL,PIE,KPIE,NULL
32,FNS_ID_43135016,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,M0770/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,RWY 14/32 IS WET,ZAN/QXXXX/IV/NBO/A/000/999/6439N14706W005,NULL,PAEI,16:00.0,59:00.0,NULL,RWY 14/32 IS WET,0,999,MIL,M0770/16 NOTAMN,0,999,MSL,MSL,16:00.0,59:00.0,16:00.0,NULL,ZAN,NULL,NULL,EIELSON AFB,PAEI,EIL,NULL
33,FNS_ID_43135021,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,M0607/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,"PARACHUTE DEMONSTRATION WITHIN 5NM RADIUS OF 342315N1031903W SFC TO 11,000FT MSL; AVOIDANCE ADVISED. REF FDC 6/7568",ZAB/QXXXX/IV/NBO/A/000/999/3422N10319W005,NULL,KCVS,00:00.0,00:00.0,DLY 1500-2300 ," PARACHUTE DEMONSTRATION WITHIN 5NM RADIUS OF 342315N1031903W SFC TO 11,000FT MSL; AVOIDANCE ADVISED. REF FDC 6/7568",0,999,MIL,M0607/16 NOTAMN,0,999,MSL,MSL,00:00.0,00:00.0,17:00.0,NULL,ZAB,NULL,NULL,CANNON AFB,KCVS,CVS,NULL
34,FNS_ID_43134201,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,05/515,NOTAMR,NULL,!MCN 05/515 VNA NAV VORTAC NOT MNT 1605241744-1606022000EST,MCN,05/515,NULL,NAV VORTAC NOT MNT,NULL,NULL,VNA,44:00.0,00:00.0,NULL,NAV VORTAC NOT MNT,0,999,DOM,0515/16 NOTAMN,0,999,MSL,MSL,44:00.0,00:00.0,44:00.0,10:00.0,ZTL,VNA,NULL,VNA-VORTAC,MCN,VNA,NULL
35,FNS_ID_43134997,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,V1858/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,AIRSPACE CLSD WI AREA 1KM EITHER SIDE OF LINE:   463100N0443300E-463100N0443400E-463100N0443300E.,URRV/QRTCA/IV/BO/W/000/999/4631N04433E001,TEMPORARY RESTRICTED AREA ACTIVATED,URRV,00:00.0,00:00.0,MAY 27 30 JUN 01 03 0800-0900,AIRSPACE CLSD WI AREA 1KM EITHER SIDE OF LINE:   463100N0443300E-463100N0443400E-463100N0443300E.,GND,100M,INTL,V1858/16 NOTAMN,0,999,AGL,AGL,00:00.0,00:00.0,11:00.0,NULL,URRV,NULL,NULL,ROSTOV FIR,UUUUYNYX,URRV,NULL
36,FNS_ID_43134976,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,P4903/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,AIRSPACE CLSD WI COORD: 505700N1283700E-512200N1281700E-513500N1290600E- 511300N1292500E-505700N1283700E.,UHHH/QRTCA/IV/BO/W/150/270/5118N12851E023,TEMPORARY RESTRICTED AREA ACTIVATED,UHHH,00:00.0,00:00.0,DAILY 0100-1800,AIRSPACE CLSD WI COORD: 505700N1283700E-512200N1281700E-513500N1290600E- 511300N1292500E-505700N1283700E.,FL150,FL270,INTL,P4903/16 NOTAMN,150,270,MSL,MSL,00:00.0,00:00.0,05:00.0,NULL,UHHH,NULL,NULL,KHABAROVSK NOVY,UUUUYNYX,UHHH,NULL
37,FNS_ID_43116982,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0032/16,NOTAMN,NULL,!ABI 05/032 ABI OBST TOWER LGT (ASR 1052187) 321706.50N0993839.30W  (7.8NM SSE ABI) 2666.7FT (401.9FT AGL) OUT OF SERVICE 1605211616-1606211200,ABI,05/032,NULL,OBST TOWER LGT (ASR 1052187) 321706.50N0993839.30W (7.8NM SSE ABI) 2666.7FT (401.9FT AGL) OUT OF SERVICE,NULL,NULL,NULL,NULL,NULL,NULL,OBST TOWER LGT (ASR 1052187) 321706.50N0993839.30W (7.8NM SSE ABI) 2666.7FT (401.9FT AGL) OUT OF SERVICE,NULL,NULL,DOM,0032/16 NOTAMN,NULL,NULL,NULL,NULL,16:00.0,00:00.0,19:00.0,12:00.0,NULL,ABI,ABILENE RGNL,ABILENE RGNL,ABI,KABI,NULL
38,FNS_ID_43116607,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0199/16,NOTAMN,NULL,!EKN 05/199 I16 OBST TOWER LGT (ASR 1281889) 374308.20N0813905.90W (8.3NM NNW I16) 2876.0FT (354.0FT AGL) OUT OF SERVICE 1605211346-1606211200,EKN,05/199,NULL,OBST TOWER LGT (ASR 1281889) 374308.20N0813905.90W (8.3NM NNW I16) 2876.0FT (354.0FT AGL) OUT OF SERVICE,NULL,NULL,NULL,NULL,NULL,NULL,OBST TOWER LGT (ASR 1281889) 374308.20N0813905.90W (8.3NM NNW I16) 2876.0FT (354.0FT AGL) OUT OF SERVICE,NULL,NULL,DOM,0199/16 NOTAMN,NULL,NULL,NULL,NULL,46:00.0,00:00.0,50:00.0,11:00.0,NULL,I16,KEE FIELD,KEE FIELD,EKN,I16,NULL
